https://www.ctcrash.uconn.edu/QueryTool2.action?qid=180309
"CrashId","Fatal Case Status","Fatal Case Status Text Format","CrashId","CrashId","Latitude","Longitude","DOT Case Number","Town Name","Town Number","Town Number","Town Number Text Format","Date Of Crash","Year","Month","Month Text Format","Day","Day of the Week","Day of the Week Text Format","Time of Crash","Hour of the Day","Case Identifier","Crash Severity","Crash Severity Text Format","Most Severe Injury","Most Severe Injury Text Format","Number Of Motor Vehicles","Number Of Non-Motorist","Number Of Witnesses","Route Class","Route Class Text Format","Milemarker","Road Number","Road Description","Roadway Name","Intersecting Roadway Name","Landmark Description","Distance From Nearest Landmark","Unit Of Measure From Nearest Landmark","Direction From Nearest Landmark","Latitude","Longitude","First Harmful Event","First Harmful Event Text Format","Manner of Crash / Collision Impact","Manner of Crash / Collision Impact Text Format","Location of First Harmful Event","Location of First Harmful Event Text Format","Weather Condition","Weather Condition Text Format","Weather 2","Weather 2 Text Format","Light Condition","Light Condition Text Format","Road Surface Condition","Road Surface Condition Text Format","Contributing Circumstances, Environment","Contributing Circumstances, Environment Text Format","Environment 2","Environment 2 Text Format","Environment 3","Environment 3 Text Format","Contributing Circumstances, Road","Contributing Circumstances, Road Text Format","Road 2","Road 2 Text Format","Road 3","Road 3 Text Format","Crash Specific Location","Crash Specific Location Text Format","Type of Intersection","Type of Intersection Text Format","School Bus Related","School Bus Related Text Format","Work Zone Related","Work Zone Related Text Format","Location Of Crash Relative To Work Zone","Location Of Crash Relative To Work Zone Text Format","Type of Work Zone","Type of Work Zone Text Format","Worker Presence","Worker Presence Text Format","Law Enforcement Presence","Law Enforcement Presence Text Format","Were Vehicles Moved Prior To Police Arrival","Trafficway Ownership","Trafficway Ownership Text Format","Trafficway Class","Trafficway Class Text Format","Police Agency","Police Agency Text Format","Badge Number","Approval Date","Police Case Status","Police Case Status Text Format","Crash Report Submission Date","Related Case Identifiers","No. of Through Lanes (Log Dir.)","Average Daily Traffic","Functional Classification","Functional Classification Text Format","Rural or Urban","Rural or Urban Text Format"
"777502","1","Complete","777502","777502","41.10104800","-73.41696700","3281612","Norwalk","103","103","Norwalk","2021-01-03","2021","1","January","3","1","Sunday","17:00:00","17","2100000489","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","0","4","Local","0.16","0601","NORTH WATER ST","NORTH WATER ST","MARSHALL ST","","","","W","41.10104800","-73.41696700","9","Pedestrian","88","Not Applicable","1","On Roadway","4","Rain","88","Not Applicable","99","Unknown","99","Unknown","99","Unknown","88","Not Applicable","88","Not Applicable","99","Unknown","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","true","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","B033","2021-01-05 14:52:06.0","O","Open","2021-01-05 14:59:44.0","","2","5312","7","LOCAL - NEW HPMS","2","Urban"
"777533","1","Complete","777533","777533","41.11002923","-73.41817198","3281643","Norwalk","103","103","Norwalk","2021-01-03","2021","1","January","3","1","Sunday","17:22:00","17","2100000351","O","Property Damage Only","O","No Apparent Injury (O)","1","1","1","4","Local","0.07","0919","CONNECTICUT AV","CONNECTICUT AV","WEST AV","","","","","41.11002923","-73.41817198","10","Pedalcycle/Pedalcyclist","88","Not Applicable","1","On Roadway","6","Freezing Rain or Freezing Drizzle","88","Not Applicable","4","Dark-Lighted","2","Wet","1","Weather Conditions","88","Not Applicable","88","Not Applicable","99","Unknown","88","Not Applicable","88","Not Applicable","2","Intersection","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","true","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","M051","2021-01-05 16:46:48.0","O","Open","2021-01-05 16:50:19.0","","4","20500","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"778557","1","Complete","778557","778557","41.12612200","-73.39103100","3282667","Norwalk","103","103","Norwalk","2021-01-04","2021","1","January","4","2","Monday","15:09:00","15","2100000460","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","1","2","USRoute","17.44","1","1-N","1-N","STRAWBERRY HILL AV","","","","","41.12612200","-73.39103100","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","B025","2021-01-08 19:49:29.0","O","Open","2021-01-08 20:27:26.0","","4","19600","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"781538","1","Complete","781538","781538","41.09580000","-73.44970000","3285648","Norwalk","103","103","Norwalk","2021-01-18","2021","1","January","18","2","Monday","12:13:00","12","2100002786","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","0","","","","","","680 CONNECTICUT AV","","Richards Ave","500.0","Feet","E","41.09580000","-73.44970000","9","Pedestrian","88","Not Applicable","7","In Parking Lane or Zone","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","8","Driveway Access","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","2","Private Road","4","Parking Lot","CT0010300","Norwalk PD","O007","2021-01-20 14:59:55.0","O","Open","2021-01-20 15:08:58.0","","","","","","",""
"783721","1","Complete","783721","783721","41.10738762","-73.40027583","3287831","Norwalk","103","103","Norwalk","2021-01-20","2021","1","January","20","4","Wednesday","21:05:00","21","2100003216","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","1","4","Local","0.20","0832","STRAWBERRY HILL AV","STRAWBERRY HILL AV","","Myrtle Street","98.0","Feet","N","41.10738762","-73.40027583","9","Pedestrian","88","Not Applicable","1","On Roadway","2","Cloudy","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","11","Through Roadway","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","W023","2021-01-29 13:06:48.0","O","Open","2021-01-29 13:13:33.0","","4","9300","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"787859","1","Complete","787859","787859","41.10553100","-73.43102800","3291968","Norwalk","103","103","Norwalk","2021-02-09","2021","2","February","9","3","Tuesday","19:29:00","19","2100006099","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","1","4","Local","0.00","0920","WEST CEDAR ST NO 1","WEST CEDAR ST NO 1","","North Taylor Ave.","50.0","Feet","E","41.10553100","-73.43102800","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","6","Dark-Unknown Lighting","2","Wet","99","Unknown","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","D034","2021-02-14 19:11:11.0","O","Open","2021-02-14 20:02:30.0","","2","5515","7","LOCAL - NEW HPMS","2","Urban"
"791793","1","Complete","791793","791793","41.14030000","-73.42630000","3295892","Norwalk","103","103","Norwalk","2021-02-22","2021","2","February","22","2","Monday","18:18:00","18","2100007946","A","Injury of any type (Serious, Minor, Possible)","B","Suspected Minor Injury (B)","1","1","0","3","State","0.96","719","719-N","719-N","","Nottingham Pl","100.0","Feet","S","41.14030000","-73.42630000","9","Pedestrian","88","Not Applicable","1","On Roadway","4","Rain","88","Not Applicable","4","Dark-Lighted","2","Wet","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","12","Acceleration / Deceleration Lane","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","A016","2021-02-28 15:23:09.0","O","Open","2021-02-28 15:26:12.0","","4","20100","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"794853","1","Complete","794853","794853","41.10134363","-73.42210123","3298951","Norwalk","103","103","Norwalk","2021-03-08","2021","3","March","8","2","Monday","09:54:00","9","2100009914","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","0","","","","","","MLK DR","MLK DR","MLK DR","1.0","Feet","N","41.10134363","-73.42210123","18","Other Non-Fixed Object","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","8","Driveway Access","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","88","Not Applicable","4","Parking Lot","CT0010300","Norwalk PD","V013","2021-03-12 20:59:36.0","O","Open","2021-03-12 21:01:12.0","","","","","","",""
"797130","1","Complete","797130","797130","41.10006700","-73.42861900","3301228","Norwalk","103","103","Norwalk","2021-03-22","2021","3","March","22","2","Monday","19:49:00","19","2100012085","A","Injury of any type (Serious, Minor, Possible)","B","Suspected Minor Injury (B)","1","1","0","4","Local","0.26","0851","TAYLOR AV","TAYLOR AV","COUCH ST","","","","","41.10006700","-73.42861900","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","W024","2021-03-22 20:58:22.0","O","Open","2021-03-22 21:03:36.0","","2","6300","5","MAJOR COLLECTOR - NEW HPMS","2","Urban"
"798566","1","Complete","798566","798566","41.09937000","-73.40519200","3302663","Norwalk","103","103","Norwalk","2021-03-13","2021","3","March","13","7","Saturday","23:38:00","23","2100010855","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","0","4","Local","0.06","0343","GOODROW ST","GOODROW ST","","East Ave","50.0","Feet","N","41.09937000","-73.40519200","18","Other Non-Fixed Object","88","Not Applicable","7","In Parking Lane or Zone","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","97","Other","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","2","Private Road","4","Parking Lot","CT0010300","Norwalk PD","H024","2021-03-30 00:01:19.0","O","Open","2021-03-30 00:10:18.0","","","","","","",""
