https://www.ctcrash.uconn.edu/QueryTool2.action?qid=180309
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"777502","1","1","Vehicle in Operation","1","UNKNOWN","","","UNKNOWN","","E","Eastbound","false","17","Pedestrian","99","Unknown","99","Unknown","88","Not Applicable","1","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","99","Unknown","99","Unknown","2","(Sport) Utility Vehicle","99","Unknown","99","Unknown","UNKNOWN","6","Stop Sign","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Unknown","","UnitedStates","","","true","N/A","false","false","MARSHALL ST","false","CT","false","false","1","UNKNOWN","","","","","","","","","","","","","","","","","","","","","","","",""
"777533","2","1","Vehicle in Operation","1","","","","","Blue","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","9","Lights (head, signal, tail)","0","None","88","","","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","4","1","Straight","1","Level","7","Sector 7 (South by SouthWest) in the 12-point Clock Diagram","1","No Damage","","","1","Straight Ahead","9","Lights (head, signal, tail)","unknown","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","false","","false","false","West Ave","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"777533","1","1","Vehicle in Operation","1","Toyota","2012","2012","Corolla/s/le","Brown","W","Westbound","false","18","Pedalcycle/Pedalcyclist","7","Turning Left","0","None","88","Not Applicable","1","3","Not Towed","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","4","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","7","Turning Left","0","None","2T1BU4EE1CC853140","3","Traffic Control Signal","2","Yes","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk             ","CT","","06850","","false","","false","false","Connecticut Ave.","false","CT","false","false","1","Allstate Fire and Casualty Insurance Company","","","","","","","","","","","","","","","","","","","","2021-07-01","","","",""
"778557","1","1","Vehicle in Operation","2","Ford","2013","2013","F150","Brown","S","Southbound","false","17","Pedestrian","7","Turning Left","0","None","88","Not Applicable","88","3","Not Towed","1","Two-Way, Not Divided","4","1","Straight","2","Uphill","12","Sector 12 (North) in the 12-point Clock Diagram","1","No Damage","5","Pick Up","7","Turning Left","0","None","1FTFW1ET3DKD99207","3","Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Stamford       ","CT","","06902","","false","","false","false","Strawberry Hill Avenue","false","CT","false","false","1","KEMPER INDEPENDENCE INS CO","","","","","","","","","","","","","","","","","","","","2021-09-01","","","",""
"781538","1","1","Vehicle in Operation","1","Ford","2007","2007","Expediti","Red      ","","","true","17","Pedestrian","3","Backing","0","None","88","Not Applicable","1","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","1","No Damage","2","(Sport) Utility Vehicle","3","Backing","0","None","1FMFK18507LA92130   ","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","New Canaan     ","CT","","06840","","false","","false","false","Walmart Parking lot ","false","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","2021-06-27","","","",""
"783721","1","1","Vehicle in Operation","1","Volkswagon","2008","2008","Jetta","Blue","S","Southbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","4","Downhill","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","3VWRZ71K68M143322   ","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06855","","false","N/a","false","true","Strawberry Hill Avenue","false","CT","false","false","1","State Farm","","","","","","","","","","","","","","","","","","","","2021-05-14","","","",""
"787859","1","1","Vehicle in Operation","1","Chevrolet","","","Equinox","White","W","Westbound","false","17","Pedestrian","99","Unknown","99","Unknown","99","Unknown","88","99","Unknown","1","Two-Way, Not Divided","2","1","Straight","2","Uphill","99","Unknown","99","Unknown","2","(Sport) Utility Vehicle","99","Unknown","99","Unknown","","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","unknown","","","","","true","","false","false","West Cedar St.","false","","false","false","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"791793","1","1","Vehicle in Operation","2","Hond","2005","2005","Civic Lx","Gry      ","S","Southbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","35","3","Not Towed","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","6","1","Straight","1","Level","8","Sector 8 (SouthWest) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","1","Straight Ahead","0","None","2HGES16555H585462   ","4","Flashing Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06850","","false","n/a","false","false","Main Ave","false","CT","false","false","1","GEICO","","","","","","","","","","","","","","","","","","","","2021-03-17","","","",""
"794853","1","1","Vehicle in Operation","1","Chev","2009","2009","Silverad","Red      ","S","Southbound","false","26","Other Non-Fixed Object","3","Backing","0","None","88","Not Applicable","5","3","Not Towed","5","One-Way Trafficway","1","1","Straight","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","1","No Damage","97","Other","3","Backing","0","None","1GBJC84K59E118488   ","1","No Control Device","88","Not Applicable","26","Other Non-Fixed Object","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Silver Spring","MD","","20901","","false","","false","false","Backing in parking lot","false","CT","false","false","1","State Farm","","","","","","","","","","","","","","","","","","","","2021-10-08","","","",""
"797130","1","1","Vehicle in Operation","1","Honda","2003","2003","Civic LX","Silver","N","Northbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","1","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","1","Straight Ahead","0","None","2HGES16513H549040","6","Stop Sign","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06854","","false","","false","false","Taylor","false","CT","false","false","1","Progressive Casualty Insurance","","","","","","","","","","","","","","","","","","","","2021-12-12","","","",""
