https://www.ctcrash.uconn.edu/QueryTool2.action?qid=180305
"CrashId","Fatal Case Status","Fatal Case Status Text Format","CrashId","CrashId","Latitude","Longitude","DOT Case Number","Town Name","Town Number","Town Number","Town Number Text Format","Date Of Crash","Year","Month","Month Text Format","Day","Day of the Week","Day of the Week Text Format","Time of Crash","Hour of the Day","Case Identifier","Crash Severity","Crash Severity Text Format","Most Severe Injury","Most Severe Injury Text Format","Number Of Motor Vehicles","Number Of Non-Motorist","Number Of Witnesses","Route Class","Route Class Text Format","Milemarker","Road Number","Road Description","Roadway Name","Intersecting Roadway Name","Landmark Description","Distance From Nearest Landmark","Unit Of Measure From Nearest Landmark","Direction From Nearest Landmark","Latitude","Longitude","First Harmful Event","First Harmful Event Text Format","Manner of Crash / Collision Impact","Manner of Crash / Collision Impact Text Format","Location of First Harmful Event","Location of First Harmful Event Text Format","Weather Condition","Weather Condition Text Format","Weather 2","Weather 2 Text Format","Light Condition","Light Condition Text Format","Road Surface Condition","Road Surface Condition Text Format","Contributing Circumstances, Environment","Contributing Circumstances, Environment Text Format","Environment 2","Environment 2 Text Format","Environment 3","Environment 3 Text Format","Contributing Circumstances, Road","Contributing Circumstances, Road Text Format","Road 2","Road 2 Text Format","Road 3","Road 3 Text Format","Crash Specific Location","Crash Specific Location Text Format","Type of Intersection","Type of Intersection Text Format","School Bus Related","School Bus Related Text Format","Work Zone Related","Work Zone Related Text Format","Location Of Crash Relative To Work Zone","Location Of Crash Relative To Work Zone Text Format","Type of Work Zone","Type of Work Zone Text Format","Worker Presence","Worker Presence Text Format","Law Enforcement Presence","Law Enforcement Presence Text Format","Were Vehicles Moved Prior To Police Arrival","Trafficway Ownership","Trafficway Ownership Text Format","Trafficway Class","Trafficway Class Text Format","Police Agency","Police Agency Text Format","Badge Number","Approval Date","Police Case Status","Police Case Status Text Format","Crash Report Submission Date","Related Case Identifiers","No. of Through Lanes (Log Dir.)","Average Daily Traffic","Functional Classification","Functional Classification Text Format","Rural or Urban","Rural or Urban Text Format"
"1014624","1","Complete","1014624","1014624","41.10196500","-73.41982100","3508820","Norwalk","103","103","Norwalk","2023-01-05","2023","1","January","5","5","Thursday","18:03:00","18","2300000852","A","Injury of any type (Serious, Minor, Possible)","B","Suspected Minor Injury (B)","1","2","0","4","Local","0.04","919","WEST AV","WEST AV","PINE ST","","","","N","41.10196500","-73.41982100","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","true","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","M042","2023-01-16 22:15:39.0","C","Closed","2023-01-16 22:24:29.0","","5","34800","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"1017607","1","Complete","1017607","1017607","41.12112200","-73.41324000","3511803","Norwalk","103","103","Norwalk","2023-01-19","2023","1","January","19","5","Thursday","18:01:00","18","2300003563","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","2","1","0","4","Local","0.19","0526","MAIN ST","MAIN ST","","Cross St.","150.0","Feet","S","41.12112200","-73.41324000","14","Motor Vehicle in Operation","1","Front to rear","1","On Roadway","4","Rain","88","Not Applicable","4","Dark-Lighted","2","Wet","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","3","Intersection-Related","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","D022","2023-01-27 19:35:41.0","C","Closed","2023-01-27 19:36:41.0","","2","7000","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"1017608","1","Complete","1017608","1017608","41.09892100","-73.42787300","3511804","Norwalk","103","103","Norwalk","2023-01-22","2023","1","January","22","1","Sunday","18:21:00","18","2300004103","A","Injury of any type (Serious, Minor, Possible)","B","Suspected Minor Injury (B)","1","1","0","4","Local","0.18","851","TAYLOR AV","TAYLOR AV","KEITH ST","","","","","41.09892100","-73.42787300","14","Motor Vehicle in Operation","97","Other","1","On Roadway","6","Freezing Rain or Freezing Drizzle","88","Not Applicable","5","Dark-Not Lighted","2","Wet","1","Weather Conditions","88","Not Applicable","88","Not Applicable","5","Road Surface Condition (wet, icy, snow, slush, etc.)","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","M046","2023-01-27 19:33:06.0","C","Closed","2023-01-27 19:36:43.0","","2","6300","5","MAJOR COLLECTOR - NEW HPMS","2","Urban"
"1020305","1","Complete","1020305","1020305","41.12633800","-73.42076400","3514501","Norwalk","103","103","Norwalk","2023-02-05","2023","2","February","5","1","Sunday","07:15:00","7","2300006932","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","0","3","State","0.52","123","123-N","123-N","","New Cannan Ave","300.0","Feet","S","41.12633800","-73.42076400","9","Pedestrian","88","Not Applicable","97","Other","1","Clear","88","Not Applicable","1","Daylight","1","Dry","99","Unknown","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","8","Driveway Access","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","2","Private Road","2","Trafficway, Not on Road","CT0010300","Norwalk PD","V007","2023-02-07 14:05:41.0","O","Open","2023-02-07 14:10:56.0","","2","10400","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"1031063","1","Complete","1031063","1031063","41.12579500","-73.41031500","3525251","Norwalk","103","103","Norwalk","2023-02-10","2023","2","February","10","6","Friday","08:10:00","8","2300007885","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","1","4","Local","0.00","907","WARD ST","WARD ST","CANNON ST","","","","","41.12579500","-73.41031500","18","Other Non-Fixed Object","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","3","Intersection-Related","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","C034","2023-03-14 11:07:41.0","C","Closed","2023-03-14 11:11:06.0","","2","6700","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"1032626","1","Complete","1032626","1032626","41.08509100","-73.42611500","3526813","Norwalk","103","103","Norwalk","2023-03-17","2023","3","March","17","6","Friday","17:55:00","17","2300014832","A","Injury of any type (Serious, Minor, Possible)","B","Suspected Minor Injury (B)","1","1","0","4","Local","0.34","0272","ELY AV NO 1","ELY AV NO 1","","Moscariello Place ","261.0","","N","41.08509100","-73.42611500","9","Pedestrian","88","Not Applicable","97","Other","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","8","Driveway Access","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","2","Private Road","2","Trafficway, Not on Road","CT0010300","Norwalk PD","H026","2023-03-20 17:05:04.0","C","Closed","2023-03-20 17:09:47.0","","2","2359","7","LOCAL - NEW HPMS","2","Urban"
"1033650","1","Complete","1033650","1033650","41.12244648","-73.40181085","3527836","Norwalk","103","103","Norwalk","2023-03-20","2023","3","March","20","2","Monday","14:33:00","14","2300015359","A","Injury of any type (Serious, Minor, Possible)","B","Suspected Minor Injury (B)","1","1","0","","","","","","WESTPORT AV","","Westport Ave","10.0","Feet","E","41.12244648","-73.40181085","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","8","Driveway Access","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","88","Not Applicable","4","Parking Lot","CT0010300","Norwalk PD","V011","2023-03-23 09:30:54.0","C","Closed","2023-03-23 09:33:05.0","","","","","","",""
"1036945","1","Complete","1036945","1036945","41.09929339","-73.41878087","3531131","Norwalk","103","103","Norwalk","2023-04-01","2023","4","April","1","7","Saturday","01:44:00","1","2300017938","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","0","4","Local","0.02","0599","NORTH MAIN ST","NORTH MAIN ST","","Washington Street","70.0","Feet","N","41.09929339","-73.41878087","9","Pedestrian","88","Not Applicable","1","On Roadway","2","Cloudy","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","3","Intersection-Related","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","W023","2023-04-03 12:45:05.0","C","Closed","2023-04-03 12:51:27.0","","2","13500","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"1040506","1","Complete","1040506","1040506","41.09580000","-73.44970000","3534695","Norwalk","103","103","Norwalk","2023-04-09","2023","4","April","9","1","Sunday","12:11:00","12","2300019748","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","0","","","","","","680 CONNECTICUT AV","","Connecticut Avenue","100.0","Feet","N","41.09580000","-73.44970000","18","Other Non-Fixed Object","88","Not Applicable","7","In Parking Lane or Zone","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","97","Other","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","2","Private Road","4","Parking Lot","CT0010300","Norwalk PD","D035","2023-04-17 10:55:02.0","C","Closed","2023-04-17 11:04:16.0","","","","","","",""
"1041879","1","Complete","1041879","1041879","41.13611700","-73.40701100","3536064","Norwalk","103","103","Norwalk","2023-04-17","2023","4","April","17","2","Monday","16:12:00","16","2300021605","A","Injury of any type (Serious, Minor, Possible)","B","Suspected Minor Injury (B)","1","1","1","4","Local","0.71","253","EAST ROCKS RD","EAST ROCKS RD","SAINT MARYS LA","","","","","41.13611700","-73.40701100","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0010300","Norwalk PD","S052","2023-04-21 22:46:04.0","C","Closed","2023-04-21 22:46:39.0","","2","3400","5","MAJOR COLLECTOR - NEW HPMS","2","Urban"
