https://www.ctcrash.uconn.edu/QueryTool2.action?qid=180305
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"1014624","1","1","Vehicle in Operation","1","Audi","2014","2014","a4","Gray","W","Westbound","false","17","Pedestrian","6","Turning Right","0","None","88","Not Applicable","30","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","6","Turning Right","0","None","WAUBFAFL0EN040441","6","Stop Sign","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk        ","CT","","06854","","false","","false","false","Pine Street","false","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","2023-06-01","","","",""
"1017607","2","1","Vehicle in Operation","3","Ford","2019","2019","Escape Se","Gray","N","Northbound","false","22","Motor Vehicle In Motion","13","Stopped in Traffic","0","None","88","Not Applicable","88","3","Not Towed","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","2","Curve Left","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","3","Functional Damage","2","(Sport) Utility Vehicle","13","Stopped in Traffic","0","None","1FMCU9GD2KUA73473","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06851","","false","","false","false","Main Avenue","false","CT","false","false","1","GEICO General Insurance Company","","","","","","","","","","","","","","","","","","","","2023-06-17","","","",""
"1017607","1","1","Vehicle in Operation","1","Mercedes-Benz","","","","Gray","N","Northbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","99","Unknown","88","Not Applicable","88","3","Not Towed","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","2","Curve Left","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","99","Unknown","1","Straight Ahead","99","Unknown","","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","true","","false","false","Main Avenue","false","CT","false","false","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1017607","3","1","Vehicle in Operation","1","Jetson","","","Bolt Pro","Black","N","Northbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","0","None","88","","","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","2","Curve Left","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","4","Disabling Damage","","","1","Straight Ahead","0","None","","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown","99","Unknown","","","","","","","","true","","false","false","Sidewalk of Main Avenue","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1017608","1","1","Vehicle in Operation","2","Honda","2015","2015","CR-V EX","White","S","Southbound","false","18","Pedalcycle/Pedalcyclist","6","Turning Right","0","None","88","Not Applicable","1","3","Not Towed","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","1","Straight","1","Level","13","Non-Collision","1","No Damage","2","(Sport) Utility Vehicle","6","Turning Right","0","None","5J6RM4H50FL060056","1","No Control Device","88","Not Applicable","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06850","","false","","false","false","Taylor Avenue","false","CT","false","false","1","State Farm","","","","","","","","","","","","","","","","","","","","2023-06-09","","","",""
"1017608","2","1","Vehicle in Operation","1","unknown ","2023","2023","unknown","Black","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","0","None","1","","","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","1","Straight","1","Level","13","Non-Collision","1","No Damage","","","1","Straight Ahead","0","None","","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","false","","false","false","Sidewalk on Taylor Avenue","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1020305","1","1","Vehicle in Operation","1","Unknown","","","Unknown","","","","true","88","Not Applicable","99","Unknown","99","Unknown","88","Not Applicable","1","3","Not Towed","1","Two-Way, Not Divided","2","99","Unknown","1","Level","99","Unknown","99","Unknown","99","Unknown","99","Unknown","99","Unknown","","1","No Control Device","88","Not Applicable","19","Other Non-motorist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","true","N/A","false","false","Main St","false","CT","false","false","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1031063","1","1","Vehicle in Operation","1","Honda","2013","2013","CR-V LX","Gray","N","Northbound","false","26","Other Non-Fixed Object","7","Turning Left","0","None","88","Not Applicable","1","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","1","No Damage","2","(Sport) Utility Vehicle","7","Turning Left","0","None","2HKRM4H38DH662886","3","Traffic Control Signal","2","Yes","26","Other Non-Fixed Object","26","Other Non-Fixed Object","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06851","","false","","false","false","West Rocks Road","false","CT","false","false","1","GEICO General Insurance Company","","","","","","","","","","","","","","","","","","","","2020-09-29","","","",""
"1032626","1","1","Vehicle in Operation","1","Chevrolet","2012","2012","Cruze Ls","Gray","W","Westbound","false","17","Pedestrian","6","Turning Right","0","None","88","Not Applicable","1","3","Not Towed","5","One-Way Trafficway","2","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","6","Turning Right","0","None","1G1PC5SH8C7177065","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","New Milford","CT","","06776","","false","","false","false","Private entrance/ exit 251 Ely Avenue","true","CT","false","false","1","New Jersey leability insurance card AAAA insurance auto insurance company","","","","","","","","","","","","","","","","","","","","2023-04-06","","","",""
"1033650","1","1","Vehicle in Operation","1","Subaru","2019","2019","Outback 2.5i Premium","Gray","W","Westbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","1","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","1","Straight Ahead","0","None","4S4BSAFC5K3352983","3","Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06850","","false","","false","false","Parking lot","false","CT","false","false","1","Motor Club Insurance Company","","","","","","","","","","","","","","","","","","","","2023-08-30","","","",""
